,QR Code,veggie,scene,url_scene,season,scientific_name,family,description,sunlight,soil conditions,hardiness,lifecycle,ease of care,foliage colors,foliage texture,tolerates,special characteristics,how to grow,germination temperature,emergence days,seed save time,Maintenance Info,Pests
10,https://drive.google.com/file/d/1huw7ucD7lcQtXKmP234NKN4JqauuOq3b/view?usp=sharing,Cabbage - Common,scene5fdd.html,http://www.gardening.cornell.edu/homegardening/scene5fdd.html,Vegetable (Cool Season) - Cabbage Family,Brassica oleracea var. capitata,Vegetable (Cool Season) - Cabbage,"This cool-season crop grows best when daytime temperatures are in the
60s F. Direct-seed or transplant spring crops for fresh use in summer.
Plant fall crops for winter storage or sauerkraut.",full sun,requires well-drained soil,,annual,moderately difficult,,coarse,frost - Tender leaves inside the head can be damaged by heavy freezes while the outer leaves appear unaffected.,not native to North America - Not known in the wild.  Descended from wild Mediterranean kale.,Propagate by seed , 45 F to 85 F  - Will germinate at soil temperatures as low as 40 F. , 4 to 7 ,Seed can be saved 5 years.,"Sow seeds indoors 6 to 8 weeks before average last spring frost. Keepsoil warm (about 75 F) until germination. Then keep plants around 60 F.Provide direct sun so plants don’t get leggy. When plants are 4 to 6weeks old, transplants into garden 12 to 24 inches apart, in rows 18 to34 inches apart. Use closer spacings for smaller, early varieties,wider spacings for larger, late-season varieties.Canbe direct seeded as soon as you can work the soil. Will germinate atsoil temps as low as 40 F. Plant ½ to ¾ inch deep, about 3 inchesapart. Thin to final spacings.Direct seed in summer for fall crop, or start transplants in late May and transplant in late June or early July.  Plantshave shallow root systems. Avoid even shallow cultivation. Mulch toprotect roots, reduce weed competition and conserve moisture.Use floating row cover to protect crop from early pests.  Whenheads are mature, they are prone to splitting in response to any stressor a rain following a dry period. Avoid splitting by choosing varietiesthat resist splitting, spacing plants close together (8 to 12 inchesfor early varieties, 12 to 16 inches for later varieties), using shovelto sever roots on one side about 6 inches from the plant, or twistingplants after heads have firmed to break some of the roots. To help reduce disease, do not plant cabbage or other cole crops in the same location more than once every three or four years.","Cabbage aphids - A hard stream of water can be used to remove aphidsfrom plants. Wash off with water occasionally as needed early in theday. Check for evidence of natural enemies such as gray-brown orbloated parasitized aphids and the presence of alligator-like larvae oflady beetles and lacewings.Cabbageroot maggot - White maggot larvae tunnel in and feed on roots ofplants. Damage causes wilting early on, death of plants later on.Cabbageworms- Handpick and destroy. Row covers may be useful on small plantings tohelp protect plants from early damage. Put in place at planting andremove before temperatures get too hot in midsummer. FleaBeetles - Use row covers to help protect plants from early damage. Putin place at planting and remove before temperatures get too hot inmidsummer. Control weeds.Cutworms - Control weeds.  Cardboard collars around each plant give good protection.Other pests:Cabbage loopersSlugsNematodes"
11,https://drive.google.com/file/d/1kn3m3U04jNrSKYXCMtryzwirR4rKDWIw/view?usp=sharing,Cabbage - Chinese,scene5290.html,http://www.gardening.cornell.edu/homegardening/scene5290.html,Vegetable (Cool Season) - Cabbage Family,Brassica rapa  var. pekinensis,Vegetable (Cool Season) - Cabbage,"This cool-season crop combines the flavor of cabbage and the texture of
romaine lettuce, but exposing young plants to frost or prolonged
temperatures below 50 F may cause them to bolt prematurely. Fall crops
are more reliable.","part shade
full shade",requires well-drained soil,,annual,moderately difficult,,medium,"frost - Spring crops may bolt prematurely if young plants are exposed
to frost or a week of nighttime temperatures below 50 F. Wait until
after last frost date to direct seed or transplant out.",,Propagate by seed , 50 F to 80 F , 4 to 7 ,Seed can be saved 4 years.,"Spring crops may bolt prematurely if young plants are exposed to frostor a week of nighttime temperatures below 50 F. Wait until after lastfrost date to direct seed or transplant out.Starttransplants inside 4 to 6 weeks before last frost date. Transplant 12to 18 inches apart in rows 18 to 30 inches apart. Closer spacingsproduce smaller, more flavorful heads.From late spring to midsummer, direct-seed ¼ to ½ inch deep in rows 18 to 30 inches apart.  Thin to 12- to 18- inch spacings.","Cabbage aphids - A hard stream of water can be used to remove aphidsfrom plants. Wash off with water occasionally as needed early in theday. Check for evidence of natural enemies such as gray-brown orbloated parasitized aphids and the presence of alligator-like larvae oflady beetles and lacewings.Cabbageroot maggot - White maggot larvae tunnel in and feed on roots ofplants. Damage causes wilting early on, death of plants later on.Cabbageworms- Handpick and destroy. Row covers may be useful on small plantings tohelp protect plants from early damage. Put in place at planting andremove before temperatures get too hot in midsummer. FleaBeetles - Use row covers to help protect plants from early damage. Putin place at planting and remove before temperatures get too hot inmidsummer. Control weeds.Cutworms - Control weeds. Cardboard collars around each plant give good protection.Other pests:Cabbage loopersSlugsNematodes"
12,https://drive.google.com/file/d/17VVdny3Umgo6nIQLurF7v1jh6ijO7dy3/view?usp=sharing,Carrots,scenea765.html,http://www.gardening.cornell.edu/homegardening/scenea765.html,Vegetable (Cool Season) - Parsley Family,Daucus carota var. sativus,Vegetable (Cool Season) - Parsley,"Careful attention to the soil makes these Vitamin A-rich roots a snap
to grow. Plant in deep, stone-free soil (a raised bed is great) with a
fine surface. Thin and weed carefully, and mulch to keep soil cool.",full sun,requires well-drained soil,,Biennial grown as an annual.,easy,medium green,fine,frost - Tolerates light frost.,not native to North America - Mediterranean origin.  First orange carrots probably developed in The Netherlands about 1600.,Propagate by seed ," 50 F to 85 F  - Will germinate at temperatures as low a 40 F.  Will germinate in about a week at 75 F, with adequate moisture. ", 7 to 21 ,Seed can be saved 3 years.,"Plant in spring, 2 to 3 weeks before last frost, ½ inch deep, ½ inchapart, in rows 12 to 24 inches apart. Deeply worked soil with fine,weed-free seedbed will greatly improve chances of successful crop.Carrotsare slow to germinate (1 to 3 weeks), and often germinate unevenly overa period of several weeks. To speed germination, water lightly daily ifsoil is dry. Thinning is critical to reduce competition fromneighboring plants. Thin to 1- to 4-inch spacings (depending on size ofroot desired) before plants are 2 inches tall. Cutting rather thanpulling reduces disturbance of the remaining plants.To improvegermination in dry weather: Make a small furrow, about 2 inches deep.Plant seed and cover with about ½ inch of soil. Cover furrow with aboard to retain soil moisture until seeds germinate.Tip: Sowradishes in the same row. They germinate quickly, break the soil crust,and mark the row. Thin and/or harvest radishes before they compete withcarrots.Use seed tape or pelleted seed for more even spacingsand less thinning. Or mix seed in roughly equal proportions with sand,fine vermiculite, or dried coffee grounds.Mulch to keep soilcool, conserve moisture and to keep exposed ""shoulders"" from turninggreen and bitter. Another option is to hill soil over the shoulders.Makeadditional plantings every three weeks through midsummer for continuoussupply and fall harvest. Sowing in very early spring is possible, butsome varieties will bolt if temperatures are too cold. Plant crops forfall harvest about 10 to 12 weeks before first frost.Rootquality is best when soil temperatures are 60 F to 70 F. The shape ofthe root is determined within the first few weeks after germinationwhen the new plant extends its taproot deep into the soil. If itencounters obstacles (such as rocks or high water table) or is damaged,shape and quality of the root will suffer.To prevent diseases, don’t plant carrots in the same spot more than once every 3 years.","Avoid planting on ground that was in sod the previous season.  Use fabric covers to exclude insects.Carrotrust fly - Harvest all carrots by September 1 in upstate New York, byAugust 20 farther South, to avoid second brood injury.Carrot weevil - Clean up garden debris in autumn.  Beneficial nematodes are available. Apply as directed on label.Leafhopper - Leafhoppers spread disease causing carrots to be woody, hairy and bitter.  No cultural control is available.Other pests:Slugs"
13,https://drive.google.com/file/d/1o5fRyUGJvjW4kR8wbkQS79LdJH4b7g5z/view?usp=sharing,Cauliflower,scene595b.html,http://www.gardening.cornell.edu/homegardening/scene595b.html,Vegetable (Cool Season) - Cabbage Family,Brassica oleracea var. botrytis (Cauliflower),Vegetable (Cool Season) - Cabbage,"The most finicky and difficult of the cole (cabbage family) crops to
grow, cauliflower flourishes when temperatures are moderate. Purple
(left), orange and yellow-green colored varieties make good addition to
flower gardens.",full sun,requires well-drained soil,,annual,difficult,,medium,frost - Mature heads will not tolerate hard freezes.,not native to North America - Not known in the wild.  Descended from wild Mediterranean kale.,Propagate by seed , 45 F to 85 F  - Will germinate at soil temperatures as low as 40 F. , 4 to 7 ,Seed can be saved 5 years.,"Most finicky of the cole (cabbage family) crops. Heads will not developproperly in hot or dry weather, so timing is crucial. Will toleratecold as well as other cole crops in spring, but mature heads are notresistant to hard freezes.Sowseeds indoors 4 to 6 weeks before average last spring frost. Keep soilwarm (about 75 F), until germination. Then keep plants around 60 F.Provide direct sun so plants don’t get leggy. When plants are 4 to 6weeks old, transplant into garden 15 to 24 inches apart in rows 24 to36 inches apart. Wait until soil temperature is 50 F or above anddanger of frost is past before transplanting.Larger, oldertransplants are more likely to bolt when exposed to cool temperaturesin the garden. Transplant when plants have four or five true leaves.Somecultivars will form small “button” heads when the weather turns warmfollowing a 10-day stretch when high temperatures only reach the 40s F.Direct seeding is more difficult than with other cole crops,especially in spring. For fall crops, plant seed in late-spring earlysummer ½ to ¾ inch deep, about 3 inches apart. Thin to final spacings.Or start transplants in late May and transplant in late June or earlyJuly.Plants have shallow root systems. Avoid even shallowcultivation. Mulch to protect roots, reduce weed competition andconserve moisture.To preserve the white color of the curd, usestring or rubber bands to secure outside leaves over the head when itis about 2 to 3 inches in diameter. From tying to harvest may take lessthan a week in summer or as long as a month in fall.Too much sun, heat or nitrogen fertilizer can cause “ricey” heads where the curd separates into small, rice-like grains.","Cabbageworms - Handpick and destroy. Row covers may be useful on smallplantings to help protect plants from early damage. Put in place atplanting and remove before temperatures get too hot in midsummer.Fleabeetles - Use row covers to help protect plants from early damage. Putin place at planting and remove before temperatures get too hot inmidsummer. Control weeds.Cabbage root maggot - White maggots(larvae) attack all plants of the cabbage family. Larvae tunnel in andfeed on roots of plants. Damage causes wilting early on, death ofplants a little later on.Cabbage aphids - A hard stream of watercan be used to remove aphids from plants. Wash off with wateroccasionally as needed early in the day. Check for evidence of naturalenemies such as gray-brown or bloated parasitized aphids and thepresence of alligator-like larvae of lady beetles and lacewings.Other pests: Slugs and snailsCutworms "
14,https://drive.google.com/file/d/1WoFVxx944OJoXOPhFuSZkk-_So-Jv3At/view?usp=sharing,Celeriac,scene810e.html,http://www.gardening.cornell.edu/homegardening/scene810e.html,Vegetable (Cool Season) - Parsley Family,Apium graveolens  var. Rapaceum,Vegetable (Cool Season) - Parsley,"Celeriac is closely related to celery, but easier to grow. It is prized
for its crisp, celery-flavored root, which you can eat raw or cooked. A
staple in Europe, it is little known in North America.","full sun
part shade",tolerates damp soil,,annual,moderately difficult,,medium,frost - More frost-tolerant than celery.,not native to North America - Mediterranean origin.,Propagate by seed , 70 F to 75 F  - Optimum when starting indoors. , 14 to 21,,"Grow celeriac similar to celery. Start plants inside about 10 to 12weeks before last frost. Plant several seeds per cell. Seeds need lightto germinate, so don’t cover seed deeply. 50 percent germination isconsidered good for this crop.Keepsoil moist and warm (about 70 F to 75 F) until seeds germinate in 2 to3 weeks. After germination, grow inside in a cool location (about 60 Fto 70 F). Thin to one plant per cell.Set out transplants closelyspaced - just 6 to 8 inches apart, about 2 weeks before average lastfrost. Plants can withstand light to moderate frosts. Mulch or hill soil over root shoulders to keep them covered.In Zone 7 and warmer, can be planted in summer for winter and spring harvest.",
15,https://drive.google.com/file/d/1c_dXPIaRSnGhsCvPDGx3wMlWSzCfwEOM/view?usp=sharing,Celery,sceneb528.html,http://www.gardening.cornell.edu/homegardening/sceneb528.html,Vegetable (Cool Season) - Parsley Family,Apium graveolens  var. dulce,Vegetable (Cool Season) - Parsley,"Perhaps the most difficult vegetable to grow in many areas, this
long-season crop must be started inside. Seeds are slow to germinate,
and if transplanted outside too early, plants will bolt in response to
cold. Also requires consistent moisture and dislikes heat.","full sun
part shade","tolerates damp soil
requires high fertility",,annual,difficult,medium green,medium,frost - Will tolerate light frost but can be damaged by a moderate frost.,not native to North America - Mediterranean origin.,Propagate by seed , 70 F to 75 F  - Optimum when starting indoors. , 14 to 21 ,Seed can be saved 5 years.,"Start plants inside about 10 to 12 weeks before last frost. Plantseveral seeds per cell. Seeds need light to germinate, so don’t coverseed deeply. Keep soil moist and warm (about 70 F to 75 F) until seedsgerminate in 2 to 3 weeks. After germination, grow inside in a coollocation (about 60 F to 70 F). Thin to one seed per cell.Plantswill withstand light frost, but 10 days with night temperatures below40 and days below 55 F can cause bolting. So harden plants by reducingwater, not lowering temperature.Set out transplants 6 to 12 inches apart, rows 18 to 36 inches apart, about 2 weeks before average last frost. Plantsare shallow-rooted and require consistent moisture. Lack of water willmake stalks fibrous and bitter. Mulch to retain moisture, suppressweeds and avoid disturbing roots when cultivating.For a milder flavor, blanch by wrapping stalks two weeks before harvest with paper, a cardboard milk carton or other material.","AphidsTarnished plant bugCabbage loopersWhitefliesCutwormsUse floating row covers early in the season, and collars if cutworms are present."
16,https://drive.google.com/file/d/1Lidh_B8ShJY0rRrL4S2qfqGsWccUq1pG/view?usp=sharing,Chives,scene0072.html,http://www.gardening.cornell.edu/homegardening/scene0072.html,"Herbaceous Perennial Flower, 



	







Herb, 



	







Vegetable (Cool Season) - Onion Family",Allium schoenoprasum,Vegetable (Cool Season) - Onion,"Great for dressing up potatoes and spicing up salads, this easy-to-grow
Allium’s pinkish-lavender flowers make an attractive clump or edging in
flower gardens.","full sun
part shade","tolerates acid soil
tolerates droughty soil
tolerates damp soil
tolerates low fertility",3 to 9,perennial,easy,medium green,fine,,"deer resistantnot native to North America - Mediterranean originevergreen - In cold areas, dies back to the ground.","Propagate by seed,division or separation- Direct seed, divide or transplant in spring or fall. ", 45 F to 95 F , 7 to 21 ,Seed can be saved 3 years.,"In spring or fall, direct seed onto well-prepared seedbed (coveringvery lightly), or transplant established plants. (If starting fromseed, plants probably won’t be large enough to harvest for at least ayear.)Regularcutting helps keep plants vigorous and healthy and encouragesspreading. Keep flowers picked to discourage dormancy in warm weather.No fertilizer is needed if planted in reasonably fertile soil.  Plants harvested frequently benefit from nitrogen top-dressing.Divide and replant clump in fresh soil every three to five years.		More growing information: How to Grow Perennials",Not usually harmed.
17,https://drive.google.com/file/d/1lkVkQOh8b4ULvm1Sb1tnCqYbXO5Y_0Zy/view?usp=sharing,Claytonia,scene483b.html,http://www.gardening.cornell.edu/homegardening/scene483b.html,Vegetable (Cool Season) - Salad Greens,Claytonia perfoliata,Portulacaceae,"This cool-season salad green readily self-seeds and can overwinter in
Zone 6 and warmer. While somewhat aggressive, it makes a handsome
low-growing cover for edible landscaping.","full sun
part shade",tolerates low fertility,6 to 9,perennial,easy,dark green,medium,frost - Tolerates moderate frost,native to North America - Native to western North America from British Columbia to Mexico.,Propagate by seed , 50 F to 55 F , 7 to 10 ,Seed can be saved 5 years.,"4 to 6 weeks before last spring frost, direct seed ¼ inch deep, ½ inch apart in rows 8 to 12 inches apart.Make succession plantings from early to midspring.  Resume plantings in late summer to midfall for fall and winter harvest.Thin to 2 to 3 inches if harvesting cut-and-come-again style, or 4 to 6 inches if harvesting leaves individually.Unlike most greens, claytonia maintains flavor and quality even when plants flower.  Flavor turns bitter in hot weather.Plants may overwinter in Zone 6 and warmer.  Can be grown as a winter crop in a cold frame in Zones 4 and 5.",
18,https://drive.google.com/file/d/1CoYfWkphrmc7SIO1jQrScr3bWH8FFBc-/view?usp=sharing,Collards,scene6f80.html,http://www.gardening.cornell.edu/homegardening/scene6f80.html,Vegetable (Cool Season) - Cabbage Family,Brassica oleracea var. acephala (collards),Vegetable (Cool Season) - Cabbage,"The flavor of this traditional Southern potherb is improved by frost.
Very cold hardy (harvest can continue right through snow), collards are
also among the most heat tolerant of cole crops.",full sun,requires well-drained soil,,annual,easy,,,frost - Flavor improved when plants are “kissed” by frost.,,Propagate by seed , 45 F to 85 F  - Will germinate at soil temperatures as low as 40 F. , 4 to 7 ,Seed can be saved 4 years.,"Direct seed about three months before expected fall frost. Plant seeds¼ to ½ inch deep, 1 inch apart in rows 18 to 30 inches apart. Thin to12- to 18-inch spacings. Eat or transplant thinnings.Forspring crops, start plants inside about 8 weeks before the last frost,and transplant when they are about 6 weeks old. Set transplants 12inches apart, rows 18 to 24 inches apart.Plant direct-seeded crops 1/2 inch deep and 3 inches apart 3 weeks before last frost.  Thin to 12 to 18 inches apart.Mulch overwintering plants.  Collardsdon't seem to be as troubled by pests as most other cole crops. Usefloating row covers to help protect from early insect infestations.To help reduce disease, do not plant collards or other cole crops in the same location more than once every three or four years.",CutwormCabbage loopersCabbagewormsFlea beetlesCabbage root maggots Cabbage aphidsSlugs and snailsNematodesUsually not as susceptible to pest damage as other cole crops.
19,https://drive.google.com/file/d/1sKi4e4MTI4DjomIP6vP6_esh10nxGxGc/view?usp=sharing,Corn - Sweet,scene05f6.html,http://www.gardening.cornell.edu/homegardening/scene05f6.html,Vegetable (Warm Season) - Other,Zea mays,Gramineae,"Corn demands fertile soil, consistent moisture and warm weather. If you
have those and plenty of garden space to spare, it’s not hard to grow
great-tasting corn, and you won’t get it any fresher.",full sun,requires high fertility,,annual,moderately difficult,medium green,medium,,native to North America - Probably first domesticated in southern or central Mexico.,Propagate by seed , 65 F to 85 F  - Will not germinate below 55 F , 4 to 7  - Supersweet hybrids require more moisture and often take longer to germinate. ,Seed can be saved 2 years.,"Corn requires rich, fertile soil. Add compost or well rotted manure infall. Consider planting a legume cover crop the season before corn tohelp meet the nutrient needs of this heavy feeder.Makefirst planting after last frost date. Soil should be at least 65 F forfast germination. (Corn will not germinate if soil temperature is lessthan 55 F.) To speed increase in soil temperature, consider coveringsoil with black plastic for several weeks before planting.Plantin blocks of at least 4 rows of a single hybrid (as opposed to fewer,longer rows) for good pollination and well-filled ears. (Some cornvarieties need to be isolated from others. See variety informationbelow.)Plant seeds 1 inch deep and 4 to 6 inches apart in rows30 to 36 inches apart. Thin to 8- to 12-inch spacings when plants are 3to 4 inches tall. Increase seeding rates to ensure a good stand ifsoils are cold or you are using seed that has not been treated withfungicide. (Untreated seed has natural color. Treated seed is dyed.)Fora sequential harvest, make first planting using an early hybrid. Twoweeks later, plant another block of an early hybrid, plus blocks ofmid- and late-season hybrids. Continue making plantings until lateJune, depending on the length of your growing season.To save space, you can intercrop corn with early-harvested cool-season crops.  Cornplants have many roots close to the surface, so cultivate around themwith care. You can hill soil up around the base of plants as they growto bury small weeds in the row and give the corn a better foothold.After the soil has warmed, you can mulch corn to help suppress weedsand retain moisture.It is not necessary to remove suckers (sidesprouts growing from the base of the plant). Studies show that removingthem may actually reduce yields.Corn is a heavy feeder -particularly of nitrogen - and may require several sidedressings offertilizer for best yields. Look for signs of nutrient deficiency.Purple-tinged leaves are a sign of phosphorus deficiency. Pale greenleaves are a sign of nitrogen deficiency. For miniature or babycorn, plant seeds 2 to 4 inches apart and harvest as silks emerge fromthe ear, or harvest secondary ears from normally spaced plantings,allowing the main ear to fully mature. Also try hybrids specificallybred for early baby corn harvest.","European corn borer, corn earworms - Destroy cornstalks in fall to killoverwintering larvae of European Corn Borer. Plant early to avoid cornearworm.Seedcornmaggots - Avoid heavy manure or organic matter in garden, which attractadults and encourage egg laying. Do not overwater. Useinsecticide-treated seed. Wear gloves when planting. "
20,https://drive.google.com/file/d/1igFG5Gf3k1LQG0P3naDAov7Y_2Ls7Y7s/view?usp=sharing,Cress - Garden,scene3673.html,http://www.gardening.cornell.edu/homegardening/scene3673.html,Vegetable (Cool Season) - Salad Greens,Lepidium sativum,Brassicaceae,"The easiest of the cresses to grow, garden cress can be harvested in as
little as two weeks after sowing. It’s peppery taste adds zing to
salads, but hot weather makes this cool-season crop bitter and
inedible.","full sun
part shade",requires well-drained soil,,annual,easy,,,frost,not native to North America - Native to Egypt and Middle East.  Cultivated in Persia around 400 B.C.,Propagate by seed , 55 F to 75 F ," 2 to 7  - In early spring when soils are cold (~45 F), germination may take two weeks. ",Seed can be saved 5 years.,"Plant in early spring as soon as you can work the soil. Broadcast seedand cover very lightly with soil or compost. A small patch (1- to2-feet square) provides plenty of cress.Make succession plantings every 2 to 3 weeks until weather warms.  Start planting fall crops when weather cools in late summer.You can intercrop cress with carrots or radishes, or mix it with other salad green crops.Keep cress well watered and provide shade when weather warms.Cover with fabric row covers if flea beetles or other pests are a problem.",Flea beetles - Use row covers to help protect plants from early damage.Put in place at planting and remove when temperatures get too hot.Control weeds. 
21,https://drive.google.com/file/d/1aBxe3rv4ICXTaHtIU-i_Oidqlp8U3ZOj/view?usp=sharing,Cucumbers,scenef65b.html,http://www.gardening.cornell.edu/homegardening/scenef65b.html,"Vine, 



	







Vegetable (Warm Season) - Cucurbit",Cucumis sativus,Cucurbitaceae,"Whether for pickling or slicing, cucumbers are easy to grow if you give
them good soil, full sun and sufficient moisture, and wait for weather
to warm before planting.",full sun,"requires well-drained soil
requires high fertility",,annual,easy,medium green,medium,,"not native to North America - Probably originated in India before spreading to Africa and Southeast Asia.bearsornamental fruit - The wide variety of size, shape and color of fruitscan be used for ornamental effects. Trellised so fruits are morevisible.",Propagate by seed , 60 F to 90 F  - Do not plant until soil reaches 65 F.   , 3 to 10  - May germinate in 3 days at 80 F to 90 F.  Germination may take 10 days or longer at cooler temperatures.,,"Cucumbers are very sensitive to cold. They need warm soil and air,whether direct-seeded or transplanted. Don’t rush to plant too early.Seed will not germinate if soil temperature is below 50 F, andgerminates only slowly at 68 F.Direct-seed1 to 1 ½ inches deep, either in rows (2 inches apart in rows 5 to 6feet apart) or in hills (3 to 6 seeds per hill, hills spaced 3 to 5feet apart).Thin to 8 to 15 inches apart in rows or 2 to 3plants per hill. Snip off plants when thinning to avoid disturbing theroots of nearby plants.For early crops, use black plastic mulchand row covers or other protection to speed warming and protect plants.Direct seed into holes in plastic. Cucumbers seeded into black plasticusually produce larger yields, as well earlier ones.For extraearly crops, start plants inside 3 to 4 weeks before transplanting. Sow3 seeds per pot in 2-inch pots. Thin to one or two plants per pot. Growabove 70 F during the day and above 60 F at night. Be careful whenhardening-off plants not to expose them to cold temperatures. Plantswith one or two true leaves transplant best. Transplant into blackplastic mulch or warm garden soil after danger of frost has passed andweather has settled. Be careful not to damage roots when transplanting.If using peat pots, make sure they are saturated before transplantingand completely buried. If using row covers, remove when flowers beginto blossom to assure good pollination.For a continuous harvest,make successive plantings every 2 to 3 weeks until about 3 monthsbefore first fall frost date. About 1 month before first frost, startpinching off new flowers so plants channel energy into ripeningexisting fruit.To save space, train vining cucumbers to atrellis. (Make sure the trellised plants don’t shade other sun-lovingplants.) This also increases air circulation (reducing diseaseproblems), makes harvest easier and produces straighter fruit. Set uptrellis before planting or transplanting to avoid root injury. Spaceplants about 10 inches apart. Pinch back vines that extend beyond thetrellis to encourage lateral growth.Most cucumbers have bothmale and female flowers. The male flowers blossom first and producepollen, but no fruit. Other varieties produce female flowerspredominately or exclusively. Seed packs of these varieties include afew seeds (usually marked with dye) of another variety that producesmale flowers to provide pollen. Make sure you don’t remove pollinatorplants when thinning.Cucumbers are heavy feeders and requirefertile soil, nitrogen fertilizer, and/or additions of high-N organicmatter sources. Pale, yellowish leaves indicate nitrogen deficiency.Leaf bronzing is a sign of potassium deficiency.To reduce pestand disease pressure, do not plant cucumbers where you’ve grown them inthe last two years. Choose resistant varieties to prevent many diseasesand/or trellis vining varieties to encourage good air circulation.",Stripped or spotted cucumber beetles - Construct tents of fine netttingor cheesecloth or use floating row cover over young transplants andseedlings. Put in place at planting and remove before temperatures gettoo hot in midsummer. Control of beetles is important to preventbacterial wilt in cucumbers but less important in other vine crops.Aphids- A hard stream of water can be used to remove aphids from plants. Washoff with water occasionally as needed early in the day. Check forevidence of natural enemies such as gray-brown or bloated parasitizedaphids and the presence of alligator-like larvae of lady beetles andlacewings.Squash vine borer - Remove borers by hand and destroy.  Destroy crop residues after harvest.
22,https://drive.google.com/file/d/1vnu84wt5YOzxRdX7PYz7Vqo-fQlv5sO7/view?usp=sharing,Cutting Chicory,scene98cf.html,http://www.gardening.cornell.edu/homegardening/scene98cf.html,"Vegetable (Cool Season) - Salad Greens, 



	







Vegetable (Warm Season) - Salad Greens",Cichorium intybus (Cutting chicory),Compositae,"This bitter Italian green grows quickly, with immature leaves ready to
harvest in just 3 to 5 weeks. Prefers cool weather but will produce
greens throughout the season.","full sun
part shade",requires well-drained soil,,annual,easy,medium green,medium,frost,not native to North America - Native to Eurasia and North Africa,Propagate by seed , 45 F to 85 F , 7 to 10 ,Seed can be saved 5 years.,"Direct seed or transplant anytime from early spring to 3 months before first fall frost.  Space plants 6 to 8 inches apart.Harvest individual leaves or cut whole plants.  Cut back plants when flower stalks form.  Plants will regrow.For a milder flavor, blanch by covering plants with a bucket or flower pot.Mulch plants heavily after frost to help overwinter.  Remove mulch and cut back plants in spring.",
23,https://drive.google.com/file/d/1Qu46JTaua0GW2l-YVk_-h_9Z9g3RL5Pq/view?usp=sharing,Eggplant,scene26b5.html,http://www.gardening.cornell.edu/homegardening/scene26b5.html,"Vegetable (Warm Season) - Tomatoes, Peppers, Eggplant",Solanum melongena,Solanaceae,"Dramatic foliage and colorful fruits (white, green and other colors in
addition to the usual deep purple) make this heat-loving annual a good
choice for ornamental beds as well as vegetable gardens. Needs two or
more months with night-time temperatures near 70 F for good fruit
production. Test.",full sun,"requires well-drained soil
requires high fertility",,Tender annual.,moderately difficult,medium green,coarse,,"not native to North America - Native to Asia.  Large-fruited cultivars originated in India.  Smaller-fruited varieties originated in China.bearsornamental fruit - In addition to the familiar deep purple, oval,glossy fruits, some varieties produce long, thin fruits or small,ball-shaped fruit. Other colors include white, green and orange.",Propagate by seed , 60 F to 95 F  - Germinates best between 80 F and 90 F.   , 7 to 10  - At 85 F. ,Seed can be saved 4 years.,"Start inside about 6 weeks before last frost date (or about 8 weeksbefore expected transplanting). Plant 1/4 inch deep in flats orcell-type containers. Keep soil warm (about 80 F to 90 F if possible)until emergence. Eggplant will not germinate in cool soil.Harden off plants carefully before transplanting by reducing temperature and water.Waituntil weather has settled, all chance of frost has passed and soil isin the 60s F before transplanting, perhaps 2 to 3 weeks after theaverage last frost date. Cool conditions can weaken plants. Frost willkill them. Consider using raised beds or black plastic mulch towarm soil and speed early-season growth. If using organic mulches tohelp retain moisture, do not apply until the soil has warmed.Set transplants 18 to 24 inches apart in rows 30 to 36 inches apart.Use row covers to protect plants from pests.If season is cool, fruit set may be inconsistent.  Plants with heavy fruit set benefit from staking.Eggplantsare heavy feeders, but avoid high-nitrogen fertilizers. They mayencourage lush foliage growth at the expense of fruit.Pinch offblossoms 2 to 4 weeks before first expected frost so that plantschannel energy into ripening existing fruit, not producing new ones.Tohelp reduce disease, do not plant eggplants or other tomato-familycrops in the same location more than once every three or four years.","Aphids - A hard stream of water can be used to remove aphids fromplants. Wash off with water occasionally as needed early in the day.Check for evidence of natural enemies such as gray-brown or bloatedparasitized aphids and the presence of alligator-like larvae of ladybeetles and lacewings.Fleabeetles - Use row covers to help protect plants from early damage. Putin place at planting and remove before temperatures get too hot orplants start to flower.Colorado potato beetles - Handpick beetles, larvae and eggs.Cutworms - Use cardboard collars around transplants it cutworms are a problem."
24,https://drive.google.com/file/d/1XMKPY0yiMMlT-8UaINtlSS4e6gLQPW6a/view?usp=sharing,Egyptian Onion,scene18b1.html,http://www.gardening.cornell.edu/homegardening/scene18b1.html,Vegetable (Cool Season) - Onion Family,Allium cepa var. proliferum,Vegetable (Cool Season) - Onion,"Similar to shallots - but with a much stronger flavor - this perennial
allium produces numerous bulbs below ground, and as a bonus forms
clusters of sets for replanting on its stalk.","full sun
part shade",requires well-drained soil,5 to 9,perennial,easy,medium green,medium,frost,not native to North America - Middle East origin,Propagate by division or separation- Divide clumps in late summer and/or plant bulblets that form on stalk.Rarely produces seed.,,,,"Plant bulblets that form on stalk in summer, or allow them to self-sow.Mulch plantings to prevent heaving in winter.Divide mother plant every few years.",Slugs
